Kecamatan,RT_Miskin,Belum/Tidak_Kerja,Nelayan,Pelajar_Mahasiswa,Pensiunan,Perdagangan,IRT,Wiraswasta,Guru,Perawat,Pengacara,Indeks_Ekonomi,Indeks_Ekonomi_Normalized,Tingkat_Ekonomi
kencong,62830,18435.0,88.0,7202.0,226.0,1135,12389.0,16418.0,569,58.0,2.0,1.4379887477442412,96.48867767811402,Tinggi
gumukmas,71930,24057.0,104.0,8391.0,159.0,987,14206.0,16328.0,593,56.0,0.0,1.264260723478368,69.2147895193305,Sedang
puger,52720,31844.0,4238.0,14508.0,229.0,1567,23373.0,23090.0,1000,86.0,3.0,1.2424703316055954,65.79387505613174,Sedang
wuluhan,54010,33483.0,251.0,14096.0,252.0,2177,18924.0,23645.0,1042,126.0,1.0,1.298881879208911,74.65002965006248,Tinggi
ambulu,117770,30846.0,881.0,14200.0,321.0,2521,19134.0,23166.0,1226,119.0,2.0,1.327183604570637,79.09317056229096,Tinggi
tempurejo,55810,22667.0,55.0,7838.0,118.0,925,14222.0,13392.0,375,39.0,0.0,1.1560429977696165,52.22548592107278,Sedang
silo,52170,28306.0,14.0,11952.0,242.0,910,17573.0,16023.0,757,62.0,0.0,1.1153364363981593,45.83488655251786,Sedang
mayang,62910,14470.0,8.0,4131.0,69.0,1109,8729.0,8667.0,235,27.0,2.0,1.212233289716132,61.04690517472918,Sedang
mumbulsari,31460,19307.0,7.0,5909.0,112.0,749,14446.0,12977.0,331,40.0,1.0,1.2193804636314705,62.16895340409252,Sedang
jenggawah,103530,23770.0,23.0,10424.0,160.0,1957,16190.0,18026.0,637,66.0,1.0,1.317126056081062,77.51421717342141,Tinggi
ajung,49930,24452.0,13.0,8424.0,144.0,1295,14718.0,15809.0,551,77.0,3.0,1.2367528937482821,64.89628377036134,Sedang
rambipuji,47510,24823.0,25.0,8993.0,385.0,1446,15121.0,16785.0,701,101.0,3.0,1.2660237193454513,69.49156554499713,Sedang
balung,117150,23979.0,34.0,8475.0,206.0,1698,15536.0,17179.0,858,87.0,0.0,1.311644036912949,76.6535847089285,Tinggi
umbulsari,64660,21164.0,28.0,8189.0,204.0,1081,12162.0,14876.0,616,84.0,0.0,1.2927624820217793,73.68933401568641,Tinggi
semboro,86010,14682.0,6.0,4613.0,261.0,591,9104.0,8855.0,450,56.0,0.0,1.1900927028846653,57.571012948572765,Sedang
jombang,56070,13144.0,13.0,6848.0,131.0,509,8600.0,12780.0,422,30.0,0.0,1.4603550156555312,100.0,Tinggi
sumberbaru,70550,32870.0,10.0,12471.0,144.0,974,18695.0,21603.0,499,43.0,2.0,1.2244276208037934,62.96131606877735,Sedang
tanggul,65940,26991.0,13.0,9115.0,415.0,1137,16222.0,17697.0,665,68.0,4.0,1.2398343633774387,65.38004946323358,Sedang
bangsalsari,60590,34941.0,21.0,12641.0,226.0,1245,20789.0,27202.0,609,81.0,0.0,1.3483402383509795,82.41459015466673,Tinggi
panti,48490,19961.0,13.0,5647.0,104.0,1070,13562.0,11153.0,371,26.0,0.0,1.1343556745718304,48.820752402348226,Sedang
sukorambi,40940,12050.0,4.0,4041.0,115.0,583,8145.0,6838.0,238,34.0,0.0,1.1297896904643034,48.10392999899844,Sedang
arjasa,99510,12111.0,5.0,3723.0,110.0,436,6799.0,7101.0,186,29.0,4.0,1.1737968790978233,55.01270102799635,Sedang
pakusari,35330,13005.0,2.0,3709.0,105.0,742,9072.0,8087.0,191,37.0,1.0,1.1965895110297273,58.59095903663925,Sedang
kalisat,98730,23024.0,10.0,6554.0,367.0,1398,14815.0,9581.0,507,111.0,3.0,0.9858790136597481,25.51112310668345,Rendah
ledokombo,134540,19380.0,14.0,5253.0,88.0,850,11628.0,8257.0,205,41.0,0.0,0.9829709510893342,25.054580912990904,Rendah
sumberjambe,93820,16635.0,4.0,4869.0,68.0,607,13562.0,5593.0,207,12.0,1.0,0.8233793734058424,0.0,Rendah
sukowono,43930,16466.0,3.0,4669.0,170.0,711,13386.0,9115.0,374,54.0,0.0,1.0947428139183055,42.60185515949306,Sedang
jelbuk,77720,9300.0,2.0,1964.0,44.0,285,5734.0,3670.0,88,7.0,0.0,0.9358348345501091,17.654593627331376,Rendah
kaliwates,90300,38590.0,15.0,15529.0,1396.0,1520,22520.0,20418.0,1717,302.0,24.0,1.1090354892140624,44.845689043827726,Sedang
sumbersari,60210,40182.0,7.0,16154.0,1857.0,1108,24947.0,21905.0,1639,294.0,36.0,1.1040100250626566,44.05673200715726,Sedang
patrang,63530,31360.0,7.0,10546.0,1324.0,1326,20188.0,14943.0,1057,169.0,17.0,1.039845805997257,33.983470989077745,Rendah
